Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,Release Date,Genre,Broad Genre
Taylor Swift ,Vigilante Shit,56,11,7,0,5696233,56313777,2022/10/21,pop,Pop
Steve Lacy ,Static,131,0,22,0,593606,56250712,2022/7/15,afrofuturism,R&B
Meek Mill ,All Eyes on You,258,0,11,0,448477,56247567,2020/8/28,hip hop,Hip Hop
Harry Styles ,Sign of the Times,141,0,17,0,918584,56208852,2017/5/12,pop,Pop
Hailee Steinfeld ,Love Myself,227,0,14,0,424056,56086741,2016/2/26,pop,Pop
Kanye West ,Waves,252,0,14,0,587368,55997889,2019/3/22,chicago rap,Hip Hop
Shawn Mendes ,I Know What You Did Last Summer,178,0,12,0,500452,55906852,2015/4/14,canadian pop,Pop
Young Stoner Life ,Solid,131,6,3,(x1),1643152,55875922,2021/4/16,pop rap,Hip Hop
Charlie Puth ,How Long,163,0,36,0,552498,55860013,2018/5/11,pop,Pop
Post Malone ,Hollywood's Bleeding,102,14,4,0,3027413,55584164,2019/9/6,dfw rap,Hip Hop
6ix9ine ,KIKA,123,7,2,(x1),1616022,55520510,2018,emo rap,Hip Hop
Future ,Wicked,218,0,32,0,407393,55381955,1989/6/13,atl hip hop,Hip Hop
NAV ,Myself,265,0,90,0,278370,55379514,2018/5/11,canadian hip hop,Hip Hop
John Legend ,All of Me,478,0,28,0,247616,55369178,2013/8/30,neo soul,R&B
Cigarettes After Sex ,Apocalypse,170,0,42,0,402317,55292647,2017/6/9,ambient pop,Pop
Megan Thee Stallion ,Sweetest Pie,169,6,2,(x1),936045,55276845,2022/3/11,houston rap,Hip Hop
Daddy Yankee ,Con Calma,175,0,43,0,524382,55166149,2019/1/24,latin hip hop,Hip Hop
Topic ,Breaking Me,176,0,46,0,436346,55109344,2019/12/19,german dance,Electronic
DaBaby ,Baby Sitter,182,0,55,0,414755,55095664,2019/3/1,hip hop,Hip Hop
Katy Perry ,Never Really Over,126,1,10,0,1027556,55067804,2020/8/28,pop,Pop
Roddy Ricch ,Start Wit Me,148,0,41,0,571755,55018380,2019/12/6,melodic rap,Hip Hop
Saweetie ,My Type,175,0,43,0,465578,55014809,2019/3/29,cali rap,Hip Hop
Tate McRae ,she's all i wanna be,163,1,10,0,716119,54992060,2022/5/27,pop,Pop
Tove Lo ,Talking Body,260,4,8,0,470463,54890193,2014/9/24,dance pop,Pop
Quavo ,HOTEL LOBBY (Unc & Phew),164,0,41,0,555956,54850356,2022/10/7,atl hip hop,Hip Hop
Aminé ,REEL IT IN,160,0,37,0,554869,54739294,2018/8/15,pop rap,Hip Hop
DJ Khaled ,GREECE,127,2,9,0,1081321,54717916,2020/7/16,hip hop,Hip Hop
Taylor Swift ,august,146,7,6,0,2840040,54625767,2020/7/24,pop,Pop
Ariana Grande ,pov,119,11,6,0,1537730,54533829,2020/10/30,pop,Pop
Mike Perry ,The Ocean,166,0,35,0,451353,54469375,1973/3/28,pop dance,Electronic
Megan Thee Stallion ,Girls in the Hood,182,0,23,0,576312,54466651,2020/6/26,houston rap,Hip Hop
Baby Keem ,HONEST,151,0,30,0,447259,54102820,2019/7/19,hip hop,Hip Hop
Alan Walker ,Faded,245,0,38,0,326390,54100218,2015/12/4,electro house,Electronic
DDG ,Moonwalking in Calabasas,177,0,36,0,495420,54093363,2020/9/11,pop rap,Hip Hop
J. Cole ,She Knows,218,0,69,0,323664,54059288,2013/6/18,conscious hip hop,Hip Hop
Vundabar ,Alien Blues,172,0,27,0,461330,54041374,2015/7/24,boston indie,Rock
Billie Eilish ,all the good girls go to hell,151,5,3,(x1),1817790,53993006,2019/3/29,art pop,Pop
Coldplay ,My Universe,165,1,8,0,946374,53947652,2021/9/24,permanent wave,Rock
6ix9ine ,GOOBA,112,12,3,(x4),1512145,53917148,2020/9/4,emo rap,Hip Hop
Childish Gambino ,3005,547,0,37,0,253876,53853351,2013/12/10,atl hip hop,Hip Hop
Tee Grizzley ,From The D To The A,267,0,93,0,282746,53814866,2017/3/17,detroit hip hop,Hip Hop
Ariana Grande ,NASA,102,9,3,(x5),2947263,53660003,2019/2/8,pop,Pop
Post Malone ,Motley Crew,115,13,3,(x3),1695072,53597602,2021/7/9,dfw rap,Hip Hop
Bebe Rexha ,I'm a Mess,203,0,63,0,383316,53309228,2018/6/22,dance pop,Pop
The Chainsmokers ,Who Do You Love,160,0,28,0,796933,53239474,2014/3/18,pop,Pop
SZA ,Shirt,62,6,8,0,1930964,53203148,2022/12/9,pop,Pop
Maren Morris ,The Bones,187,0,51,0,470810,53108609,2019/3/8,classic texas country,Country
Drake ,10 Bands,329,12,5,0,536440,52875134,2015/2/12,canadian hip hop,Hip Hop
Tory Lanez ,Say It,283,0,33,0,321101,52744672,2016/8/19,canadian hip hop,Hip Hop
Jack Harlow ,Nail Tech,110,23,2,(x2),1135997,52488297,2022/2/18,deep underground hip hop,Hip Hop
Juice WRLD ,Life's A Mess,114,14,3,(x1),3094307,52474709,2020/7/10,chicago rap,Hip Hop
6ix9ine ,GUMMO,174,0,48,0,519071,52433571,2018/4/10,emo rap,Hip Hop
Drake ,Signs,122,7,7,0,1048149,52311258,2004/1/1,canadian hip hop,Hip Hop
YFN Lucci ,Everyday We Lit,245,0,95,0,253281,52259968,2017/3/3,arkansas hip hop,Hip Hop
Dua Lipa ,We're Good,154,1,10,0,695072,52250269,2021/2/11,dance pop,Pop
Megan Thee Stallion ,Cry Baby,158,0,32,0,552142,51989339,2015/8/14,houston rap,Hip Hop
Lil Baby ,Close Friends (Lil Baby & Gunna),200,0,41,0,632381,51946627,2018/10/5,atl hip hop,Hip Hop
Tai Verdes ,AOK,167,0,35,0,451540,51926588,2021/5/6,modern indie pop,Pop
Ed Sheeran ,Don't,328,0,15,0,245898,51816937,2017/11/10,pop,Pop
Lil Nas X ,Rodeo,104,10,7,0,1196792,51788566,2023/2/24,lgbtq+ hip hop,Hip Hop
YoungBoy Never Broke Again ,Outside Today,189,0,74,0,427688,51700652,2018/6/29,baton rouge rap,Hip Hop
Taylor Swift ,Question...?,49,7,8,0,5519609,51647553,2022/10/21,pop,Pop
Bad Bunny ,Safaera,151,0,30,0,769149,51612770,2020/2/29,reggaeton,Latin
Harry Styles ,Daylight,113,13,5,0,2833429,51560617,2023/4/14,pop,Pop
Taylor Swift ,the 1,103,14,1,(x1),4175284,51543535,2020/7/24,pop,Pop
Ice Cube ,It Was A Good Day,206,0,91,0,334709,51427753,1992/11/17,conscious hip hop,Hip Hop
Omar Apollo ,Evergreen,106,4,8,0,776748,51419831,2017/5/17,bedroom pop,Pop
Nicki Minaj ,Truffle Butter,332,0,14,0,322273,51390845,2015/1/23,hip pop,Pop
Cheat Codes ,Sex,170,0,33,0,454585,51361858,2016/11/4,edm,Electronic
O.T. Genasis ,Cut It,250,0,47,0,334454,51307796,2015/9/25,southern hip hop,Hip Hop
Paul McCartney ,Wonderful Christmastime  Edited Version / Remastered 2011,87,0,14,0,2142169,51289585,1980/5/16,classic rock,Rock
X Ambassadors ,Renegades,324,0,22,0,346357,51224217,2015/6/30,modern alternative rock,Rock
Bad Bunny ,Yo Perreo Sola,142,0,18,0,926127,51051248,2020/2/29,reggaeton,Latin
Imagine Dragons ,Enemy,95,16,8,0,665972,50995955,2021/10/28,modern rock,Rock
Pitbull ,Time of Our Lives,241,14,8,0,424077,50967811,2014/11/21,dance pop,Pop
Trippie Redd ,1400 / 999 Freestyle,148,0,15,0,906278,50938549,2018/11/9,melodic rap,Hip Hop
benny blanco ,Roses,146,0,41,0,520019,50831435,2019/9/13,pop,Pop
The Weeknd ,Take My Breath,116,10,3,(x1),1723476,50769835,2022/1/6,canadian contemporary r&b,R&B
Burl Ives ,Rudolph The RedNosed Reindeer,139,0,20,0,1585555,50752538,1965/10/1,american folk revival,Folk/Acoustic
Drake ,Right Hand,270,0,22,0,324018,50737805,2019/5/26,canadian hip hop,Hip Hop
Ariana Grande ,Break Free,286,59,1,(x1),469324,50627582,2014/8/25,pop,Pop
Em Beihold ,Numb Little Bug,144,0,25,0,484640,50555344,2022/1/28,alt z,Pop
Charlie Puth ,Left and Right (Feat. Jung Kook of BTS),139,1,8,0,983052,50440183,2022/10/6,pop,Pop
Bizarrap ,"Quevedo: Bzrp Music Sessions, Vol. 52",135,0,27,0,517445,50396055,2022/7/6,argentine hip hop,Hip Hop
Lauren Spencer Smith ,Fingers Crossed,121,8,2,(x1),1182298,50353213,2023/7/14,alt z,Pop
Metro Boomin ,No Complaints,165,0,26,0,620643,50224935,2018/11/6,hip hop,Hip Hop
Galantis ,No Money,174,0,25,0,475539,50044898,2016/4/1,dance pop,Pop
Eminem ,The Real Slim Shady,192,0,16,0,543319,50034425,2000/5/23,detroit hip hop,Hip Hop
Sia ,Elastic Heart,281,0,12,0,323941,49959549,2015/5/4,australian dance,Electronic
Post Malone ,92 Explorer,109,0,14,0,2115624,49920716,2018/4/27,dfw rap,Hip Hop
Lil Tecca ,Love Me,136,0,23,0,618085,49902710,2013/1/1,melodic rap,Hip Hop
SZA ,Kill Bill,20,18,1,(x16),2976280,49884805,2022/12/9,pop,Pop
G,Eazy  Some Kind Of Drug,256,0,38,0,431500,49833045,2015/12/4,indie pop rap,Hip Hop
Migos ,Get Right Witcha,199,0,17,0,602055,49833007,2017/1/27,atl hip hop,Hip Hop
The Chainsmokers ,Call You Mine,125,0,20,0,702046,49745871,2019/12/6,pop,Pop
Milky Chance ,Stolen Dance,353,0,18,0,217719,49660656,2014/10/14,german pop,Pop
Echosmith ,Cool Kids,274,63,4,0,340219,49643988,2013/10/4,electropop,Pop
A$AP Rocky ,F**kin' Problems,528,0,111,0,194902,49467361,2013,east coast hip hop,Hip Hop
Gene Autry ,Here Comes Santa Claus (Right Down Santa Claus Lane),134,0,27,0,1714813,49462102,1957/10/15,classic oklahoma country,Country
Stephanie Beatriz ,The Family Madrigal,115,1,10,0,658350,49436537,2021/11/19,hollywood,Easy listening
Logic ,Keanu Reeves,122,0,13,0,1100889,49392833,2019/5/10,conscious hip hop,Hip Hop
MØ ,Final Song,155,0,33,0,472642,49361417,2016/5/13,dance pop,Pop
Olivia Rodrigo ,"1 step forward, 3 steps back",93,8,6,0,2296296,49354316,2021/5/21,pop,Pop
Maroon 5 ,Wait,162,0,38,0,588796,49303216,2015/1/11,pop,Pop
TOKYO’S REVENGE ,GOODMORNINGTOKYO!,136,0,39,0,540193,49275156,2019/10/18,meme rap,Hip Hop
Kendrick Lamar ,Die Hard,107,7,2,(x3),3909587,49248636,2022/5/13,conscious hip hop,Hip Hop
Shawn Mendes ,Wonder,122,4,8,0,1080092,49246743,1995/10/2,canadian pop,Pop
Cody Johnson ,'Til You Can't,182,0,61,0,367310,49196663,2021/10/8,classic texas country,Country
Megan Thee Stallion ,Hot Girl Summer,107,7,2,(x1),1290006,48986332,2019/8/9,houston rap,Hip Hop
Tyler Hubbard ,5 Foot 9,178,0,58,0,351547,48935367,2022/5/20,contemporary country,Country
Frank Sinatra ,Mistletoe And Holly  Remastered 1999,139,0,29,0,1303175,48859261,2024/4/12,adult standards,Easy listening
Calvin Harris ,My Way,133,0,15,0,615744,48839895,2008/5/13,dance pop,Pop
Florida Georgia Line ,Simple,164,0,50,0,501812,48765565,1973/1/1,contemporary country,Country
Halsey ,New Americana,237,0,31,0,293102,48670562,2015/8/28,electropop,Pop
Ashnikko ,Daisy,153,0,37,0,419153,48663445,2020/7/9,alt z,Pop
Miley Cyrus ,Midnight Sky,121,1,5,0,1161613,48593390,2020/11/27,pop,Pop
Travis Scott ,Watch,105,2,2,(x1),2095463,48528205,2023/10/20,hip hop,Hip Hop
Taylor Swift ,Don’t Blame Me,182,0,73,0,410224,48446993,2017/11/10,pop,Pop
Post Malone ,Over Now,94,6,6,0,2880829,48399298,2018/4/27,dfw rap,Hip Hop
Anuel AA ,China,136,0,22,0,552745,48374018,2019/7/19,reggaeton,Latin
Justin Timberlake ,Say Something,123,0,13,0,855127,48226776,2014/1/20,dance pop,Pop
Maroon 5 ,Cold,118,0,23,0,654436,48029320,2018/6/15,pop,Pop
Imagine Dragons ,Bones,151,0,49,0,557121,48025317,2022/3/11,modern rock,Rock
Calvin Harris ,Blame,259,50,2,(x2),406448,47969994,2014/10/31,dance pop,Pop
Billie Eilish ,my strange addiction,117,3,9,0,1502995,47834232,2019/3/29,art pop,Pop
Trippie Redd ,Dark Knight Dummo (Feat. Travis Scott),180,0,53,0,450251,47818797,2018/8/10,melodic rap,Hip Hop
Luke Combs ,Better Together,179,0,21,0,596360,47787095,2005/1/1,contemporary country,Country
Nicky Jam ,X,137,0,38,0,515099,47783184,2022/2/11,latin hip hop,Hip Hop
Clean Bandit ,Solo,122,0,38,0,552074,47767161,2017/7/27,pop,Pop
Yo Gotti ,Down In the DM,218,0,21,0,406003,47599228,2016/2/19,dirty south rap,Hip Hop
"Tyler, The Creator ",WUSYANAME,119,8,1,(x1),2320080,47551679,2021/6/25,hip hop,Hip Hop
T,Wayne  Nasty Freestyle,176,45,3,(x31),592776,47412344,2015/5/4,atl hip hop,Hip Hop
Selena Gomez ,Kill Em With Kindness,145,0,22,0,486771,47387427,2015/10/9,pop,Pop
Maroon 5 ,Maps,318,18,4,0,344809,47362002,2014/9/2,pop,Pop
Kanye West ,Moon,91,5,4,0,2538604,47360570,2018/3/16,chicago rap,Hip Hop
XXXTENTACION ,NUMB,155,1,9,0,1445168,47260044,2018/3/16,emo rap,Hip Hop
Twenty One Pilots ,Car Radio,378,0,106,0,167270,47194493,2013/1/8,modern rock,Rock
Martin Garrix ,Summer Days,114,0,27,0,612884,47163854,2019/4/25,dutch edm,Electronic
Bad Bunny ,Yo No Soy Celoso,125,0,12,0,1565952,47047318,2022/5/6,reggaeton,Latin
Meghan Trainor ,NO,159,0,14,0,563650,47036106,2017/5/12,hip pop,Pop
Justin Bieber ,Friends,101,7,2,(x1),1152734,46960589,2018/2/9,canadian pop,Pop
Ariana Grande ,needy,83,7,3,(x1),2997104,46952516,2019/2/8,pop,Pop
Manuel Turizo ,La Bachata,131,0,48,0,459579,46825328,2022/5/26,colombian pop,Pop
One Direction ,Perfect,165,8,5,0,805717,46770086,2017/3/3,boy band,Pop
Miley Cyrus ,Prisoner,142,1,5,0,1104754,46717753,2020/11/27,pop,Pop
Jonas Brothers ,Only Human,136,1,6,0,1125721,46658896,2019/6/7,boy band,Pop
Kid Cudi ,Mr. Rager,174,0,65,0,353777,46632445,2010/11/9,hip hop,Hip Hop
Clean Bandit ,Symphony,159,0,40,0,465181,46570752,2017/3/16,pop,Pop
John Lennon ,Happy Xmas (War Is Over)  Remastered 2010,94,0,25,0,1647401,46430174,2010/10/5,classic rock,Rock
NAV ,Champion,151,0,47,0,520802,46335200,2018/1/12,canadian hip hop,Hip Hop
Dante Klein ,Let Me Hold You (Turn Me On),142,0,32,0,473402,46295103,2016/4/13,deep tropical house,Electronic
Justin Bieber ,Company,215,4,9,0,575534,46279257,2015/11/13,canadian pop,Pop
Ruth B. ,Lost Boy,263,0,65,0,278982,46211456,2017/5/5,alt z,Pop
Taylor Swift ,Mastermind,51,0,11,0,4450320,46196864,2022/10/22,pop,Pop
Khalid ,Talk,57,0,12,0,1275854,46168125,2024/3/15,pop,Pop
Offset ,Clout,134,0,41,0,607319,45988907,2019/2/22,atl hip hop,Hip Hop
Frank Ocean ,Pink + White,175,0,69,0,376845,45987269,2016/8/20,lgbtq+ hip hop,Hip Hop
Nelly ,Lil Bit,149,0,38,0,434764,45977526,2020/10/23,dance pop,Pop
Joy Again ,Looking Out for You,185,0,61,0,325897,45955297,2016/1/15,pov: indie,Pop
OneRepublic ,Wherever I Go,176,0,39,0,371869,45867470,2011/1/1,piano rock,Rock
Zay Hilfigerrr ,Juju On That Beat (TZ Anthem),126,6,7,0,715338,45767401,2016/9/30,viral trap,Hip Hop
*NSYNC ,"Merry Christmas, Happy Holidays",125,0,30,0,1521093,45744894,1998/10/27,boy band,Pop
Shawn Mendes ,Monster (Shawn Mendes & Justin Bieber),113,6,1,(x1),1390004,45583358,2020/11/20,canadian pop,Pop
Post Malone ,Die For Me,88,7,6,0,2501060,45568118,2019/9/6,dfw rap,Hip Hop
Jack Harlow ,Way Out,129,0,23,0,964473,45565912,2020/12/9,deep underground hip hop,Hip Hop
Demi Lovato ,Tell Me You Love Me,143,0,35,0,551431,45532926,2024/4/12,pop,Pop
Big Sean ,Blessings,333,0,16,0,329130,45528886,2011/4/12,detroit hip hop,Hip Hop
Lil Baby ,Life Goes On,174,0,87,0,323807,45524730,2018/5/18,atl hip hop,Hip Hop
Justin Bieber ,I'll Show You,151,26,5,0,959474,45486634,2015/11/13,canadian pop,Pop
Drake ,Hype,164,2,9,0,802445,45480573,2022/8/1,canadian hip hop,Hip Hop
Wiz Khalifa ,Hopeless Romantic,128,0,29,0,670800,45393663,2020/5/22,hip hop,Hip Hop
Ed Sheeran ,Cross Me,98,2,8,0,1165189,45370707,2018/12/20,pop,Pop
Jeremih ,Planes,257,0,28,0,294954,45313785,2015/12/4,chicago rap,Hip Hop
Sam Smith ,Too Good At Goodbyes  Edit,54,20,2,(x5),1423261,45142874,2017/11/3,pop,Pop
Selena Gomez ,Fetish,113,8,4,0,1338226,45130808,2017/7/13,pop,Pop
Rod Wave ,Rags2Riches,106,0,13,0,856766,45120892,2020/8/7,florida rap,Hip Hop
Martin Garrix ,Ocean,99,0,17,0,928374,45068508,2019/5/3,dutch edm,Electronic
Chance the Rapper ,Juke Jam,285,0,39,0,393589,44972930,2019/2/14,chicago rap,Hip Hop
The Neighbourhood ,Softcore,142,0,37,0,430498,44951503,2018/11/2,modern alternative rock,Rock
Sam Smith ,Have Yourself A Merry Little Christmas,147,0,20,0,1063342,44951050,2024/4/12,pop,Pop
Charlie Puth ,One Call Away,178,0,20,0,412164,44950868,2016/1/29,pop,Pop
Tory Lanez ,Broke In A Minute,145,0,24,0,595694,44876389,2020/4/10,canadian hip hop,Hip Hop
Trippie Redd ,Death,114,0,18,0,788739,44826260,2020/2/8,melodic rap,Hip Hop
Zac Efron ,Rewrite The Stars,136,0,16,0,712459,44802916,2017/12/8,hollywood,Easy listening
Bruce Springsteen ,"Santa Claus Is Comin' to Town  Live at C.W. Post College, Greenvale, NY  December 1975",105,0,27,0,1671283,44793152,1981,heartland rock,Rock
Hotel Ugly ,Shut up My Moms Calling,114,0,43,0,490267,44768357,2020/2/10,modern indie pop,Pop
Post Malone ,On The Road,90,7,7,0,2345300,44706330,2019/9/6,dfw rap,Hip Hop
Logic ,44 More,90,8,6,0,1307547,44699487,2018/3/9,conscious hip hop,Hip Hop
Nick Jonas ,Jealous,205,58,4,0,351570,44622840,2021/5/21,dance pop,Pop
Jeremih ,Don't Tell 'Em,274,24,4,0,307920,44580888,2015/12/4,chicago rap,Hip Hop
Lil Nas X ,Panini  DaBaby Remix,124,0,27,0,654612,44531866,2019/9/13,lgbtq+ hip hop,Hip Hop
David Guetta ,Bang My Head,183,0,30,0,374535,44395289,2015/11/27,big room,Electronic
Louis Tomlinson ,Back to You,98,0,24,0,670972,44387909,2018/5/18,pop,Pop
Duncan Laurence ,Arcade,157,0,57,0,352955,44307767,2019/3/7,dutch pop,Pop
Drake ,Pussy & Millions,54,11,3,(x2),3916020,44301382,2022/11/4,canadian hip hop,Hip Hop
Yellow Claw ,In My Room,212,0,53,0,288915,44202130,2004/8/31,dutch house,Electronic
Taylor Swift ,Cruel Summer,126,7,3,(x1),2277951,44160627,2019/8/23,pop,Pop
Billie Eilish ,xanny,104,6,4,0,1793874,44154537,2019/3/29,art pop,Pop
Tove Lo ,Habits (Stay High),264,33,3,(x2),336620,44139331,2014/1/1,dance pop,Pop
girl in red ,we fell in love in october,172,0,44,0,393988,44020710,2018/11/21,bedroom pop,Pop
Adele ,Oh My God,100,7,2,(x2),2315914,44008064,2021/11/19,british soul,R&B
The Chainsmokers ,Takeaway,116,0,13,0,827528,43933634,2019/12/6,pop,Pop
Iggy Azalea ,Black Widow,221,56,2,(x7),387390,43828836,2014/1/1,australian hip hop,Hip Hop
Thomas Rhett ,Craving You,194,0,56,0,360989,43808144,2017/9/8,contemporary country,Country
Ant Saunders ,Yellow Hearts,104,0,19,0,607388,43785355,2019/6/18,chill r&b,R&B
Post Malone ,Deja Vu,230,0,49,0,370195,43775282,2024/4/1,dfw rap,Hip Hop
Drake ,Major Distribution,53,12,2,(x4),4577550,43686889,2022/11/4,canadian hip hop,Hip Hop
BTS ,Boy With Luv,101,7,4,0,1314671,43677086,2019/4/12,k-pop,Pop
Mac Miller ,Good News,64,15,3,(x3),2486030,43654898,2023/9/29,hip hop,Hip Hop
Avicii ,SOS,90,2,5,0,1220031,43607635,2006/4/10,dance pop,Pop
Lil Tjay ,Run It Up,136,0,22,0,670253,43512351,2021/4/2,brooklyn drill,Hip Hop
Money Man ,24,121,0,22,0,522480,43448074,2016/11/17,memphis hip hop,Hip Hop
Lil Tecca ,Never Left,120,0,12,0,787091,43434994,2021/5/6,melodic rap,Hip Hop
Jhay Cortez ,No Me Conoce  Remix,177,0,106,0,299052,43371176,2019/5/24,reggaeton,Latin
Macklemore & Ryan Lewis ,Downtown,196,0,14,0,429459,43292794,2017/11/19,pop rap,Hip Hop
Vince Guaraldi Trio ,Christmas Time Is Here  Vocal,117,1,6,0,1494846,43279264,2012/1/1,jazz trio,Jazz
Rudimental ,Lay It All on Me,190,0,29,0,348472,43278098,2015/10/2,pop dance,Electronic
The Jackson 5 ,I Saw Mommy Kissing Santa Claus,108,0,26,0,1381853,43253152,2024/4/12,motown,R&B
John Legend ,Love Me Now,145,0,31,0,441580,43235430,2016/12/2,neo soul,R&B
Charlie Puth ,Marvin Gaye,237,0,22,0,339296,43123758,2023/8/25,pop,Pop
Post Malone ,Zack And Codeine,77,5,7,0,2835989,43018804,2018/4/27,dfw rap,Hip Hop
Jidenna ,Classic Man,233,0,16,0,374055,43003452,2015/2/3,ghanaian hip hop,Hip Hop
Jonas Blue ,Perfect Strangers,148,0,41,0,423069,42965769,1984/9/16,pop,Pop
Dustin Lynch ,Small Town Boy,191,0,82,0,315099,42940339,2017/9/8,contemporary country,Country
Roddy Ricch ,Late At Night,125,0,21,0,791442,42905142,2021/12/17,melodic rap,Hip Hop
Brent Faiyaz ,ALL MINE,143,1,7,0,983422,42901101,2022/7/8,r&b,R&B
Drake ,Champagne Poetry,70,8,2,(x1),5953619,42852511,2021/9/3,canadian hip hop,Hip Hop
David Guetta ,Hey Mama,178,25,7,0,499908,42850762,2014/11/10,big room,Electronic
ScHoolboy Q ,X,105,5,5,0,1276876,42734451,2022/2/11,gangster rap,Hip Hop
Lil Pump ,Esskeetit,120,0,24,0,722734,42652497,2018/4/13,emo rap,Hip Hop
Tory Lanez ,The Color Violet,119,0,46,0,472388,42598269,2021/12/10,canadian hip hop,Hip Hop
Ed Sheeran ,South of the Border,131,1,9,0,1221297,42597565,2019/7/12,pop,Pop
Usher ,I Don't Mind,233,7,9,0,366859,42588835,2014/11/21,atl hip hop,Hip Hop
Mac Miller ,Self Care,116,4,4,0,1337856,42582549,2018/8/3,hip hop,Hip Hop
Juice WRLD ,Tell Me U Luv Me,105,4,4,0,2291240,42562084,2020/7/10,chicago rap,Hip Hop
Bailey Zimmerman ,Fall In Love,159,0,51,0,432165,42533887,2023/1/11,contemporary country,Country
Kygo ,Stole the Show,278,0,20,0,326191,42531999,2016/5/13,edm,Electronic
MAGIC! ,Rude,293,33,2,(x1),356943,42493413,2014/6/25,pop,Pop
Clean Bandit ,I Miss You,133,0,50,0,447945,42466083,2003/1/1,pop,Pop
Sia ,Snowman,100,0,28,0,1342079,42395769,2018/11/1,australian dance,Electronic
Bing Crosby ,Mele Kalikimaka  Single Version,99,0,26,0,1717890,42299178,2024/4/12,adult standards,Easy listening
Oliver Tree ,Life Goes On,127,0,29,0,485805,42294034,2018/5/18,alternative hip hop,Hip Hop
Harry Styles ,Satellite,98,6,8,0,2309793,42239560,2022/5/20,pop,Pop
TOTO ,Africa,193,0,126,0,261244,42187022,1982/4/8,album rock,Rock
Blanco Brown ,The Git Up,117,0,32,0,521344,42118089,2019/10/10,black americana,Country
Zara Larsson ,Ruin My Life,131,0,33,0,610749,42106624,2018/10/18,pop,Pop
Lil Mosey ,Kamikaze,162,0,73,0,375436,42097376,2018/8/31,melodic rap,Hip Hop
Meek Mill ,R.I.C.O.,257,0,11,0,439617,42096440,2015/6/29,hip hop,Hip Hop
Offset ,Red Room,102,0,14,0,953871,42093852,2023/7/6,atl hip hop,Hip Hop
24kGoldn ,CITY OF ANGELS,120,0,42,0,515829,42046175,2019/11/22,cali rap,Hip Hop
J Balvin ,UN DIA (ONE DAY) (Feat. Tainy),126,0,36,0,693343,41984738,2020/7/24,reggaeton,Latin
Maggie Lindemann ,Pretty Girl  Cheat Codes X CADE Remix,145,0,58,0,414353,41965006,2017/3/2,alt z,Pop
Big Sean ,Wolves,120,0,17,0,798666,41945520,2017/10/25,detroit hip hop,Hip Hop
Pharrell Williams ,Cash In Cash Out,104,5,5,0,1093794,41935196,2022/6/10,dance pop,Pop
Camila Cabello ,Liar,106,0,26,0,808244,41933875,2019/12/6,dance pop,Pop
Tiësto ,The Business,149,0,64,0,364169,41882018,2020/9/16,big room,Electronic
Rudimental ,These Days,108,0,24,0,603412,41784826,2024/1/5,pop dance,Electronic
Panic! At The Disco ,"Hey Look Ma, I Made It",145,0,47,0,539905,41778523,2018/6/22,modern rock,Rock
Trippie Redd ,Love Scars,205,0,128,0,250489,41773736,2017/5/14,melodic rap,Hip Hop
SHAED ,Trampoline,114,0,28,0,642385,41750384,2018/9/21,electropop,Pop
Nicki Minaj ,ChunLi,119,0,18,0,839846,41738408,2018/8/10,hip pop,Pop
Kendrick Lamar ,XXX. FEAT. U2.,98,7,7,0,2141020,41676943,2017/4/14,conscious hip hop,Hip Hop
Taylor Swift ,Labyrinth,43,0,11,0,4770853,41557645,2012/12/12,pop,Pop
Shawn Mendes ,Lost In Japan,147,0,16,0,853629,41531137,2024/4/7,canadian pop,Pop
21 Savage ,monster,93,0,12,0,1150034,41507110,2009/8/21,atl hip hop,Hip Hop
Jason Derulo ,Trumpets,274,5,10,0,283364,41371583,2013/9/10,dance pop,Pop
PnB Rock ,Horses,216,0,117,0,225639,41334600,2017/3/30,melodic rap,Hip Hop
MKTO ,Classic,285,0,18,0,284976,41278467,2012,pop,Pop
Keala Settle ,This Is Me,137,0,37,0,550029,41268449,2017/12/8,broadway,Easy listening
Kanye West ,Off The Grid,81,5,2,(x1),2932726,41240213,2021/8/29,chicago rap,Hip Hop
DaBaby ,Ball If I Want To,113,0,22,0,655719,41233267,2021/6/18,hip hop,Hip Hop
Ugly God ,Water,164,0,56,0,327719,41230907,2023/7/28,trap,Hip Hop
Kygo ,Higher Love,133,0,22,0,721574,41227064,2019/6/28,edm,Electronic
Lil Skies ,Creeping,164,0,58,0,426145,41148515,2022/12/2,melodic rap,Hip Hop
DaBaby ,PRACTICE,123,0,41,0,461444,41128399,2020/8/4,hip hop,Hip Hop
The Weeknd ,Six Feet Under,113,11,8,0,933144,41114900,2016/11/25,canadian contemporary r&b,R&B
42 Dugg ,4 Da Gang,130,0,41,0,503781,41048708,2021/5/21,detroit trap,Hip Hop
Khalid ,Know Your Worth,133,0,17,0,823709,41048656,2020/2/4,pop,Pop
Vince Guaraldi Trio ,O Tannenbaum,103,0,26,0,1499244,41048606,2012/1/1,jazz trio,Jazz
Doja Cat ,Boss Bitch,114,0,36,0,503814,40956320,2020/1/23,dance pop,Pop
iann dior ,Prospect (ft. Lil Baby),119,0,31,0,486294,40905921,2020/6/12,melodic rap,Hip Hop
DJ Snake ,You Know You Like It,190,32,7,0,498038,40894937,2014/10/14,edm,Electronic
